"","q1","q2","q3","q4","q5","q6","q7","q8"
"1",2,2,2,2,1,2,3,3
"2",4,4,3,2,3,3,3,2
"3",3,3,3,3,3,3,4,2
"4",3,4,2,2,4,4,3,2
"5",3,3,3,2,1,1,1,1
"6",2,4,2,2,4,2,2,2
"7",2,3,2,2,3,2,2,2
"8",2,2,1,2,2,1,1,1
"9",4,3,2,2,4,2,1,1
"10",3,4,2,3,4,4,3,3
"11",4,5,3,3,4,4,3,3
"12",3,3,3,3,4,4,4,4
"13",3,4,2,2,3,3,3,4
"14",2,2,2,1,1,3,2,3
"15",4,4,2,2,2,2,1,2
"16",2,3,2,2,5,4,3,3
"17",4,3,3,3,3,4,3,3
"18",3,3,2,2,3,2,2,2
"19",2,3,2,2,1,2,2,2
"20",3,2,2,2,4,3,3,2
"21",4,4,3,3,4,4,2,2
"22",3,2,2,2,3,3,1,2
"23",3,4,3,3,3,3,2,2
"24",2,4,3,2,3,3,3,2
"25",3,4,2,2,3,3,2,3
"26",3,2,3,2,4,4,3,3
"27",3,2,2,2,4,3,3,4
"28",2,3,2,2,2,2,3,2
"29",3,3,3,3,2,2,1,1
"30",3,3,4,2,3,4,4,4
"31",3,4,4,2,3,4,3,4
"32",2,3,2,2,4,4,4,3
"33",4,3,3,4,4,4,4,3
"34",5,3,4,4,5,5,5,5
"35",4,4,3,3,4,4,4,4
"36",3,4,3,4,4,4,4,2
"37",3,2,2,2,3,2,1,2
"38",2,2,2,2,3,3,2,2
"39",2,3,2,1,2,3,2,4
"40",4,3,4,4,3,4,3,3
"41",3,4,4,4,4,4,4,3
"42",4,3,3,1,3,2,2,2
"43",2,3,2,2,3,4,3,3
"44",3,4,3,3,4,4,4,4
"45",3,3,3,3,3,3,2,2
"46",4,4,4,3,2,3,2,2
"47",2,4,4,3,3,4,4,3
"48",4,3,3,3,3,3,2,2
"49",1,2,2,2,4,3,2,2
"50",4,3,2,3,5,4,3,5
"51",4,4,3,4,5,5,4,4
"52",4,3,3,3,4,3,3,4
"53",2,3,2,2,3,4,3,3
"54",2,3,2,2,2,2,2,2
"55",2,4,2,1,2,2,2,2
"56",4,4,3,2,3,3,3,4
"57",4,4,3,4,3,4,4,3
"58",4,4,4,4,4,4,4,4
"59",2,4,3,2,4,3,3,3
"60",4,3,3,2,3,3,2,3
"61",4,5,5,4,2,3,3,2
"62",4,3,2,4,2,3,2,2
"63",3,2,3,2,4,3,3,2
"64",4,3,4,2,4,3,4,4
"65",4,4,2,2,3,2,2,2
"66",4,4,2,2,4,3,3,2
"67",2,3,3,2,4,4,3,2
"68",2,2,3,2,3,4,3,3
"69",4,5,4,2,3,4,2,2
"70",3,4,3,2,4,4,4,4
"71",3,3,2,2,3,2,1,2
"72",3,2,2,2,2,3,3,2
"73",4,4,4,4,5,4,4,4
"74",3,4,3,4,3,2,2,2
"75",4,5,2,2,4,4,4,4
"76",4,3,2,2,2,2,2,2
"77",3,4,2,2,4,4,4,4
"78",3,3,2,4,2,3,3,2
"79",3,3,4,3,4,5,4,4
"80",5,4,3,3,5,5,4,5
"81",2,4,2,2,2,3,1,2
"82",3,4,3,2,2,4,4,4
"83",4,4,5,4,3,4,4,2
"84",3,2,2,2,3,3,3,2
"85",4,4,4,3,4,4,3,3
"86",3,3,3,3,3,3,2,2
"87",2,2,2,2,3,2,2,2
"88",3,3,3,2,4,3,2,2
"89",4,2,2,2,4,3,2,2
"90",4,3,2,2,4,4,4,2
"91",3,3,3,3,4,4,2,4
"92",2,2,2,2,3,3,2,2
"93",3,2,2,2,3,3,3,2
"94",5,3,3,2,4,3,3,3
"95",3,2,2,2,2,3,3,2
"96",3,2,3,2,2,3,2,2
"97",4,4,2,2,2,3,2,2
"98",2,2,3,2,3,2,1,2
"99",2,4,2,2,3,3,4,2
"100",3,4,2,3,3,3,3,2
"101",4,4,4,3,4,4,4,3
"102",3,3,2,2,3,2,1,2
"103",4,4,4,4,3,4,3,4
"104",3,3,2,2,2,3,3,2
"105",3,5,2,2,3,2,2,1
"106",2,2,2,2,3,3,2,2
"107",4,4,3,2,5,4,4,4
"108",4,3,2,2,3,4,3,4
"109",5,4,4,4,4,4,3,2
"110",3,3,1,2,3,2,2,2
"111",4,4,4,4,3,3,3,2
"112",2,3,2,2,4,3,3,2
"113",3,4,3,4,3,3,3,2
"114",3,3,2,2,4,4,4,4
"115",4,3,4,3,2,4,2,2
"116",3,3,2,3,4,4,4,2
"117",3,3,3,3,4,5,4,4
"118",3,4,2,2,3,2,2,2
"119",2,3,4,3,5,4,3,2
"120",3,3,2,2,4,4,4,3
"121",2,2,3,2,3,3,1,2
"122",4,5,3,4,4,4,3,4
